Case,ME/C Case,DBF,Age From,Age To,City,County,State,Biological Sex,Race / Ethnicity,Date Modified
UP62589,ME/C Case 597-98,8/16/1998,18,35,Grand Island,Erie,New York,Male,Black / African American,12/9/2024
UP1727,ME/C Case 07981557,8/16/1998,29,39,Newark,Essex,New Jersey,Male,Hispanic / Latino,9/17/2024
UP8692,ME/C Case 98-2736,8/13/1998,60,75,Pittsbugh (South Side),Allegheny,Pennsylvania,Male,Black / African American,8/28/2024
UP6309,ME/C Case K98-03693,8/12/1998,25,40,Brooklyn,Kings,New York,Male,White / Caucasian,11/8/2023
UP6307,ME/C Case B98-02620,8/11/1998,35,45,Bronx,Bronx,New York,Male,Asian,11/8/2023
UP6306,ME/C Case Q98-03369,8/10/1998,30,45,Queens,Queens,New York,Male,White / Caucasian,11/8/2023
UP56369,ME/C Case 13980721,7/26/1998,25,35,Sandy Hook,Monmouth,New Jersey,Male,Uncertain,11/21/2024
UP6285,ME/C Case R98-00592,7/25/1998,20,70,Staten Island,Richmond,New York,Male,Uncertain,11/8/2023
UP6286,ME/C Case R98-00593,7/25/1998,20,40,Staten Island,Richmond,New York,Male,Uncertain,11/8/2023
UP6284,ME/C Case M98-03944,7/23/1998,25,45,New York,New York,New York,Male,Uncertain,12/4/2024
UP6283,ME/C Case K98-03163,7/10/1998,18,25,Brooklyn,Kings,New York,Male,Black / African American,6/11/2024
UP6282,ME/C Case K98-03137,7/8/1998,25,45,Brooklyn,Kings,New York,Male,Uncertain,11/8/2023
UP6281,ME/C Case M98-03651,7/5/1998,40,60,New York,New York,New York,Male,Black / African American,8/29/2024
UP6247,ME/C Case W1998-60731,7/1/1998,25,35,Sutherlin,Pittsylvania,Virginia,Female,Black / African American,12/17/2024
UP6273,ME/C Case K98-03004,6/30/1998,20,40,Brooklyn,Kings,New York,Male,Black / African American,11/8/2023
UP6267,ME/C Case K98-02959,6/27/1998,25,35,Brooklyn,Kings,New York,Female,Black / African American,1/12/2024
UP2715,ME/C Case 98-03048,5/29/1998,20,29,Hagerstown,Washington,Maryland,Male,Uncertain,9/4/2024
UP2707,ME/C Case 98-03035,5/28/1998,40,55,Darlington,Harford,Maryland,Female,White / Caucasian,9/4/2024
UP2714,ME/C Case 98-02972,5/25/1998,30,35,Baltimore,Baltimore,Maryland,Male,White / Caucasian,11/11/2024
UP2141,ME/C Case MEX 12-98,5/25/1998,20,40,Youngstown,Niagara,New York,Male,White / Caucasian,2/4/2022
UP2925,ME/C Case 98-1701,5/20/1998,15,18,Brentwood,Suffolk,New York,Male,White / Caucasian,10/22/2024
UP11110,ME/C Case 98-53574,5/13/1998,34,60,,Clayton,Georgia,Male,Hispanic / Latino,9/13/2024
UP6262,ME/C Case M98-02592,5/11/1998,25,35,New York,New York,New York,Unsure,Hispanic / Latino,4/22/2024
UP12909,ME/C Case 98-00873,5/4/1998,25,40,Barre,Orleans,New York,Male,White / Caucasian,10/12/2020
UP9787,ME/C Case FMSP 98-361,5/3/1998,18,35,Highland Mills,Orange,New York,Male,Black / African American,11/20/2017
UP131742,ME/C Case 98-1493,4/30/1998,20,40,Dix Hills,Suffolk,New York,Female,"White / Caucasian, Hispanic / Latino, Asian",10/23/2024
UP6261,ME/C Case K98-02039,4/28/1998,20,40,Brooklyn,Kings,New York,Male,Uncertain,11/8/2023
UP6167,ME/C Case K98-02008,4/26/1998,45,55,Brooklyn,Kings,New York,Male,White / Caucasian,1/12/2024
UP6166,ME/C Case M98-02262,4/22/1998,25,55,New York,New York,New York,Male,Hispanic / Latino,3/4/2024
UP16991,ME/C Case 09980944,4/18/1998,18,99,North Bergen,Hudson,New Jersey,Male,Uncertain,8/28/2024
UP16787,ME/C Case 09980473,4/14/1998,30,35,Jersey City,Hudson,New Jersey,Male,Black / African American,8/2/2022
UP2713,ME/C Case 98-02080,4/12/1998,35,45,Baltimore,Baltimore,Maryland,Female,Black / African American,9/4/2024
UP9769,ME/C Case ME98-5465,4/12/1998,30,40,Bald Head Island,Brunswick,North Carolina,Male,Black / African American,6/2/2023
UP12385,ME/C Case 1998-1059,4/10/1998,24,30,Sharon,Norfolk,Massachusetts,Male,Asian,2/12/2024
UP2706,ME/C Case 98-01888,4/4/1998,30,55,Baltimore,Baltimore,Maryland,Female,Black / African American,11/6/2024
UP10428,ME/C Case 01980187,3/31/1998,,,Margate,Atlantic,New Jersey,Unsure,Uncertain,9/17/2024
UP1821,ME/C Case 98-03624,3/31/1998,30,35,Old Saybrook,Middlesex,Connecticut,Male,"White / Caucasian, Hispanic / Latino",3/8/2024
UP3073,ME/C Case 98-1111,3/27/1998,30,45,Speonk,Suffolk,New York,Male,White / Caucasian,10/13/2024
UP80025,ME/C Case 98C-0237F,3/27/1998,25,35,Smyrna,Cobb,Georgia,Male,"White / Caucasian, Hispanic / Latino, Uncertain",1/6/2024
UP16609,ME/C Case 98-1257,3/19/1998,40,60,Philadelphia,Philadelphia,Pennsylvania,Male,White / Caucasian,8/28/2024
UP6164,ME/C Case M98-01545,3/15/1998,30,55,New York,New York,New York,Female,Black / African American,8/29/2024
UP1636,ME/C Case 09980330,3/15/1998,0,0,Jersey City,Hudson,New Jersey,Female,Uncertain,9/17/2024
UP627,ME/C Case 98-0452,3/11/1998,0,1,Atlanta,Fulton,Georgia,Male,White / Caucasian,9/13/2024
UP2712,ME/C Case 98-01294,3/9/1998,50,65,Baltimore,Baltimore,Maryland,Male,Black / African American,9/4/2024
UP6161,ME/C Case K98-01111,3/4/1998,20,40,Brooklyn,Kings,New York,Male,Black / African American,12/4/2024
UP4902,ME/C Case B98-00786,3/2/1998,35,45,New York,Bronx,New York,Female,"White / Caucasian, Hispanic / Latino",12/4/2024
UP90200,ME/C Case 98G-0136,2/28/1998,,,Norcross,Gwinnett,Georgia,Unsure,Other,5/20/2024
UP90199,ME/C Case 98G-0135,2/28/1998,10,14,Norcross,Gwinnett,Georgia,Male,White / Caucasian,1/12/2024
UP16606,ME/C Case 98-0954,2/25/1998,30,60,Philadelphia,Philadelphia,Pennsylvania,Male,Black / African American,8/28/2024
UP2705,ME/C Case 98-00944,2/24/1998,50,90,Baltimore,Baltimore,Maryland,Male,Black / African American,9/4/2024
UP129756,ME/C Case 1998-0144,2/9/1998,30,60,Chester,Delaware,Pennsylvania,Female,Black / African American,11/17/2024
UP1479,ME/C Case 07980319,2/8/1998,25,30,Newark,Essex,New Jersey,Male,Black / African American,9/17/2024
UP6160,ME/C Case M98-00868,2/7/1998,30,55,New York,New York,New York,Male,White / Caucasian,8/29/2024
UP10429,ME/C Case 01980062 *,2/3/1998,18,99,Atlantic City,Atlantic,New Jersey,Male,Uncertain,9/17/2024
UP6159,ME/C Case M98-00732,2/2/1998,30,55,New York,New York,New York,Male,"White / Caucasian, Hispanic / Latino",8/29/2024
UP6156,ME/C Case M98-00520,1/23/1998,30,45,New York,New York,New York,Male,White / Caucasian,8/29/2024
UP2739,ME/C Case 98-00409,1/18/1998,20,50,Baltimore,Baltimore,Maryland,Male,Black / African American,9/4/2024
UP2711,ME/C Case 98-00223,1/14/1998,30,49,Baltimore,Baltimore,Maryland,Female,Black / African American,9/4/2024
UP1758,ME/C Case 01980099,1/13/1998,18,99,Atlantic City,Atlantic,New Jersey,Male,Uncertain,9/17/2024
UP6155,ME/C Case Q98-00233,1/12/1998,25,35,Queens,Queens,New York,Female,Uncertain,5/29/2024
UP1701,ME/C Case 12980039,1/6/1998,28,38,Carteret,Middlesex,New Jersey,Male,White / Caucasian,11/21/2024
UP2710,ME/C Case 98-00070,1/4/1998,25,55,Upper Marlboro,Prince George's,Maryland,Male,Black / African American,9/4/2024
UP6154,ME/C Case K98-00093,1/4/1998,20,35,Brooklyn,Kings,New York,Female,Hispanic / Latino,11/8/2023
UP6841,ME/C Case M97-06949,12/16/1997,45,65,New York,New York,New York,Male,White / Caucasian,1/12/2024
UP6839,ME/C Case K97-05559,12/8/1997,35,55,Brooklyn,Kings,New York,Male,White / Caucasian,1/12/2024
UP6837,ME/C Case M97-06678,12/4/1997,18,99,New York,New York,New York,Female,Black / African American,8/29/2024
UP15772,ME/C Case R97-00945,12/1/1997,45,65,Staten Island,Richmond,New York,Male,Uncertain,12/4/2024
UP53047,ME/C Case 97-12580,11/29/1997,,,Hartford,Hartford,Connecticut,Male,Black / African American,2/6/2024
UP6834,ME/C Case K97-05414,11/28/1997,40,50,Brooklyn,Kings,New York,Male,White / Caucasian,1/12/2024
UP2242,ME/C Case 97-22513,11/27/1997,0,0,,Bucks,Pennsylvania,Male,Black / African American,8/28/2024
UP6833,ME/C Case M97-06551,11/27/1997,40,60,New York,New York,New York,Male,Uncertain,8/29/2024
UP995,ME/C Case 97-2392,11/25/1997,40,60,Reading,Berks,Pennsylvania,Male,Black / African American,9/3/2024
UP6831,ME/C Case M97-06100,11/5/1997,20,40,New York,New York,New York,Male,Uncertain,7/31/2023
UP6830,ME/C Case M97-06085,11/4/1997,25,40,New York,New York,New York,Male,Asian,1/12/2024
UP10430,ME/C Case 01970603,10/1/1997,20,40,Atlantic City,Atlantic,New Jersey,Male,Uncertain,9/17/2024
UP11111,ME/C Case 97-6202,9/30/1997,12,17,,Jasper,Georgia,Female,Other,9/13/2024
UP6828,ME/C Case K97-04410,9/25/1997,30,50,Brooklyn,Kings,New York,Male,Black / African American,8/13/2024
UP117239,ME/C Case T1997-56890,9/25/1997,22,25,Exmore,Northampton,Virginia,Male,Hispanic / Latino,10/8/2024
UP6827,ME/C Case K97-04394,9/24/1997,,,Brooklyn,Kings,New York,Male,Black / African American,10/30/2023
UP6825,ME/C Case Q97-03869,9/19/1997,25,40,Queens,Queens,New York,Male,Hispanic / Latino,1/12/2024
UP17020,ME/C Case 97-4045,9/18/1997,20,40,Philadelphia,Philadelphia,Pennsylvania,Female,Black / African American,8/28/2024
UP5540,ME/C Case ME 97-63,9/17/1997,28,34,Levels,Hampshire,West Virginia,Male,"Hispanic / Latino, Uncertain",9/4/2024
UP6824,ME/C Case K97-04293,9/16/1997,45,55,Brooklyn,Kings,New York,Female,White / Caucasian,12/4/2024
UP16619,ME/C Case 97-3923,9/9/1997,30,40,Philadelphia,Philadelphia,Pennsylvania,Female,Black / African American,8/28/2024
UP5244,ME/C Case C97-2869,9/3/1997,30,40,Memphis,Shelby,Tennessee,Female,Black / African American,6/4/2024
UP1356,ME/C Case 97-04786,8/25/1997,25,35,North East,Cecil,Maryland,Male,Black / African American,10/21/2024
UP1708,ME/C Case 15971227,8/24/1997,12,16,Long Beach,Ocean,New Jersey,Male,White / Caucasian,9/17/2024
UP9432,ME/C Case 01970502,8/22/1997,18,35,Atlantic City,Atlantic,New Jersey,Male,Uncertain,9/17/2024
UP6822,ME/C Case Q97-03416,8/17/1997,30,50,Queens,Queens,New York,Female,"White / Caucasian, Hispanic / Latino",12/4/2024
UP6335,ME/C Case N1997-47911,8/16/1997,18,99,Shenandoah,Page,Virginia,Female,Black / African American,11/22/2023
UP6821,ME/C Case K97-03791,8/13/1997,25,35,Brooklyn,Kings,New York,Male,White / Caucasian,11/10/2023
UP10431,ME/C Case 01970472,8/8/1997,18,25,Margate,Atlantic,New Jersey,Male,White / Caucasian,10/23/2024
UP2809,ME/C Case 97-5661,8/3/1997,30,70,,Onslow,North Carolina,Female,Uncertain,5/17/2023
UP8408,ME/C Case C1997-27018,8/2/1997,0,1,Richmond City,Richmond,Virginia,Female,Uncertain,9/30/2024
UP6818,ME/C Case M97-04362,8/1/1997,20,35,New York,New York,New York,Male,Black / African American,12/4/2024
UP89125,ME/C Case C2010-50680,8/1/1997,,,,Lunenburg,Virginia,Female,White / Caucasian,11/22/2023
UP6772,ME/C Case B97-02473,7/20/1997,20,35,Bronx,Bronx,New York,Male,Hispanic / Latino,1/12/2024
UP13072,ME/C Case 1997-15031,7/19/1997,40,90,,Niagara,New York,Female,White / Caucasian,2/2/2022
UP6817,ME/C Case K97-03322,7/16/1997,25,40,Brooklyn,Kings,New York,Male,Black / African American,11/10/2023
UP6816,ME/C Case K97-03199,7/10/1997,20,50,Brooklyn,Kings,New York,Female,Hispanic / Latino,12/4/2024
UP1633,ME/C Case 08970270,7/8/1997,25,40,West Deptford Township,Gloucester,New Jersey,Male,White / Caucasian,8/28/2024
UP2808,ME/C Case 97-4538,7/6/1997,32,42,Eureka,Wayne,North Carolina,Male,"White / Caucasian, Hispanic / Latino",9/27/2024
UP9587,ME/C Case 01970396,7/6/1997,30,45,Atlantic City,Atlantic,New Jersey,Male,White / Caucasian,8/28/2024
UP4971,ME/C Case 97-03705,7/4/1997,30,50,Baltimore,Baltimore,Maryland,Male,White / Caucasian,9/4/2024
UP11652,ME/C Case 97-2492,6/28/1997,20,30,Rockville Centre,Nassau,New York,Female,Black / African American,9/5/2024
UP12188,ME/C Case 97-1330,6/24/1997,30,40,Birdsboro,Berks,Pennsylvania,Male,Black / African American,9/3/2024
UP132630,ME/C Case 1997-0405,6/24/1997,,,Bristol,Lincoln,Maine,Unsure,Uncertain,11/5/2024
UP8691,ME/C Case 97-2017,6/19/1997,50,90,Avalon,Allegheny,Pennsylvania,Female,Black / African American,8/28/2024
UP6813,ME/C Case M97-03589,6/10/1997,35,55,New York,New York,New York,Male,Black / African American,8/29/2024
UP5249,ME/C Case C97-1651,6/2/1997,30,40,Memphis,Shelby,Tennessee,Male,Black / African American,6/13/2023
UP2807,ME/C Case 97-3640,5/28/1997,30,49,,Randolph,North Carolina,Female,Black / African American,5/17/2023
UP6809,ME/C Case M97-03106,5/26/1997,27,37,New York,New York,New York,Male,Black / African American,8/29/2024
UP6808,ME/C Case K97-02390,5/21/1997,30,50,Brooklyn,Kings,New York,Male,Black / African American,11/10/2023
UP2806,ME/C Case ME97-3402 A97-460,5/19/1997,25,35,Emerald Isle,Carteret,North Carolina,Male,Black / African American,11/19/2024
UP6805,ME/C Case K97-02217,5/10/1997,16,25,Brooklyn,Kings,New York,Female,White / Caucasian,7/15/2024
UP6804,ME/C Case K97-01916,4/23/1997,25,35,Brooklyn,Kings,New York,Male,Black / African American,11/10/2023
UP1720,ME/C Case 19970070,4/6/1997,50,70,Vernon,Sussex,New Jersey,Male,White / Caucasian,8/28/2024
UP16636,ME/C Case 97-1493,3/31/1997,25,50,Philadelphia,Philadelphia,Pennsylvania,Female,Uncertain,8/28/2024
UP1725,ME/C Case 07970663,3/30/1997,65,65,Newark,Essex,New Jersey,Male,White / Caucasian,10/16/2020
UP16629,ME/C Case 97-1481,3/30/1997,0,0,Philadelphia,Philadelphia,Pennsylvania,Male,Black / African American,10/28/2024
UP59370,ME/C Case R97-00268,3/29/1997,17,35,Staten Island,Richmond,New York,Male,Hispanic / Latino,11/21/2023
UP6802,ME/C Case Q97-01290,3/24/1997,40,60,Queens,Queens,New York,Male,"White / Caucasian, Hispanic / Latino",8/9/2024
UP9763,ME/C Case 97-0239,3/22/1997,30,45,Monticello,Sullivan,New York,Male,White / Caucasian,5/21/2021
UP5257,ME/C Case FA97-0122;FA-028,3/15/1997,18,99,Chesterfield,Henderson,Tennessee,Male,White / Caucasian,6/4/2024
UP4974,ME/C Case 97-01266,3/11/1997,17,19,Potomac,Montgomery,Maryland,Male,White / Caucasian,7/12/2024
UP6801,ME/C Case M97-01475,3/5/1997,30,40,New York,New York,New York,Male,Hispanic / Latino,9/22/2024
UP6800,ME/C Case K97-00890,2/18/1997,50,60,Brooklyn,Kings,New York,Male,White / Caucasian,1/12/2024
UP16616,ME/C Case 97-0741,2/16/1997,50,60,Philadelphia,Philadelphia,Pennsylvania,Male,Black / African American,10/8/2024
UP14114,ME/C Case 1997-490,2/15/1997,25,35,Braintree,Norfolk,Massachusetts,Female,Asian,11/10/2023
UP10605,ME/C Case 97-00757,2/12/1997,0,1,District Heights,Prince George's,Maryland,Female,Black / African American,9/4/2024
UP6799,ME/C Case M97-00938,2/10/1997,50,60,New York,New York,New York,Male,White / Caucasian,11/10/2023
UP117682,ME/C Case T1997-56114,2/7/1997,,,Portsmouth,Portsmouth,Virginia,Male,Black / African American,5/21/2024
UP6798,ME/C Case M97-00650,1/28/1997,65,75,New York,New York,New York,Female,Black / African American,11/10/2023
UP6303,ME/C Case N1997-41248,1/26/1997,45,65,Warren County,Warren,Virginia,Male,White / Caucasian,8/27/2024
UP6797,ME/C Case Q97-00373,1/24/1997,50,70,Queens,Queens,New York,Male,White / Caucasian,6/22/2024
UP6794,ME/C Case K97-00401,1/22/1997,30,45,Brooklyn,Kings,New York,Female,Black / African American,6/24/2024
UP1776,ME/C Case 09970102,1/20/1997,25,35,Newark,Hudson,New Jersey,Female,"Black / African American, Hispanic / Latino",9/17/2024
UP6793,ME/C Case Q97-00257,1/16/1997,25,40,Queens,Queens,New York,Male,"White / Caucasian, Hispanic / Latino",1/12/2024
UP6792,ME/C Case K97-00267,1/14/1997,40,60,Brooklyn,Kings,New York,Male,Black / African American,1/12/2024
UP1383,ME/C Case 97-00239,1/13/1997,19,99,Suddlersville,Queen Anne's,Maryland,Male,Uncertain,9/4/2024
UP2686,ME/C Case 97-0122,1/8/1997,20,35,Philadelphia,Philadelphia,Pennsylvania,Male,"White / Caucasian, Hispanic / Latino",10/8/2024
UP6791,ME/C Case M97-00156,1/7/1997,18,99,New York,New York,New York,Male,Uncertain,11/10/2023
UP13194,ME/C Case 1996-3803,12/31/1996,23,57,Revere,Suffolk,Massachusetts,Male,Uncertain,2/13/2024
UP1549,ME/C Case UT14-97D / C96-4037,12/30/1996,20,40,Memphis,Shelby,Tennessee,Male,Black / African American,6/4/2024
UP16615,ME/C Case 96-5711,12/29/1996,20,30,Philadelphia,Philadelphia,Pennsylvania,Male,Black / African American,10/11/2024
UP6676,ME/C Case T1996-54354,12/21/1996,0,0,Virginia Beach,Virginia Beach,Virginia,Female,"Asian, Uncertain",5/21/2024
UP6862,ME/C Case B96-04551,12/20/1996,,,Bronx,Bronx,New York,Male,Uncertain,11/10/2023
UP6935,ME/C Case M96-07822,12/19/1996,50,60,New York,New York,New York,Male,White / Caucasian,8/11/2024
UP16101,ME/C Case 1996-3672,12/16/1996,17,21,Chelsea,Suffolk,Massachusetts,Male,Black / African American,4/12/2019
UP6934,ME/C Case M96-07571,12/9/1996,35,55,New York,New York,New York,Female,Uncertain,8/13/2024
UP1496,ME/C Case 12961638,12/9/1996,25,35,Old Bridge Township,Middlesex,New Jersey,Male,White / Caucasian,11/21/2024
UP1723,ME/C Case 07962464,12/1/1996,31,41,Newark,Essex,New Jersey,Male,Black / African American,8/28/2024
UP134462,ME/C Case 96-3753,11/18/1996,,,Commack,Suffolk,New York,Male,White / Caucasian,12/16/2024
UP99846,ME/C Case 1996-0807,11/12/1996,,,Phippsburg,Sagadahoc,Maine,Unsure,Uncertain,10/11/2023
UP1384,ME/C Case 96-06397,11/9/1996,50,70,Baltimore,Baltimore,Maryland,Male,White / Caucasian,11/7/2024
UP6933,ME/C Case M96-06853,11/6/1996,50,70,New York,New York,New York,Male,Uncertain,8/13/2024
UP7253,ME/C Case 1996-3152,10/30/1996,30,45,New Bedford,Bristol,Massachusetts,Female,White / Caucasian,4/10/2024
UP16610,ME/C Case 96-1408,10/25/1996,40,50,Philadelphia,Philadelphia,Pennsylvania,Male,White / Caucasian,8/28/2024
UP6932,ME/C Case M96-06424,10/17/1996,35,45,New York,New York,New York,Male,White / Caucasian,11/30/2023
UP6931,ME/C Case M96-06246,10/9/1996,30,50,New York,New York,New York,Female,Black / African American,12/4/2024
UP1386,ME/C Case 96-05725,10/6/1996,18,21,Baltimore,Baltimore,Maryland,Male,White / Caucasian,9/4/2024
UP16613,ME/C Case 96-4240,10/6/1996,33,35,Philadelphia,Philadelphia,Pennsylvania,Male,White / Caucasian,8/28/2024
UP1387,ME/C Case 96-05509,9/26/1996,30,70,Baltimore,Baltimore,Maryland,Male,Uncertain,9/4/2024
UP6861,ME/C Case B96-03368,9/22/1996,,,Bronx,Bronx,New York,Unsure,Uncertain,11/10/2023
UP6929,ME/C Case M96-05846,9/19/1996,30,55,New York,New York,New York,Male,Uncertain,11/30/2023
UP8923,ME/C Case N01-429562,9/17/1996,30,50,Dennison Township,Luzerne,Pennsylvania,Male,Black / African American,8/28/2024
UP6883,ME/C Case K96-04554,9/11/1996,30,45,Brooklyn,Kings,New York,Male,White / Caucasian,11/10/2023
UP1625,ME/C Case 07961838,9/6/1996,25,27,East Orange,Essex,New Jersey,Male,Black / African American,8/28/2024
UP14115,ME/C Case 1996-2275,8/12/1996,30,40,Revere,Suffolk,Massachusetts,Male,White / Caucasian,11/10/2023
UP6919,ME/C Case M96-04947,8/7/1996,50,70,New York,New York,New York,Male,White / Caucasian,8/13/2024
UP1388,ME/C Case 96-04420,8/6/1996,18,60,Baltimore,Baltimore,Maryland,Female,Black / African American,12/3/2024
UP7077,ME/C Case M96-04745,7/28/1996,25,45,New York,New York,New York,Male,Black / African American,4/4/2024
UP1389,ME/C Case 96-04217,7/28/1996,19,29,Baltimore,Baltimore,Maryland,Male,Black / African American,9/4/2024
UP6880,ME/C Case K96-03650,7/18/1996,30,50,Brooklyn,Kings,New York,Male,White / Caucasian,11/10/2023
UP51236,ME/C Case B96-5028,7/18/1996,30,40,Charlotte,Mecklenburg,North Carolina,Female,Black / African American,2/7/2024
UP6914,ME/C Case M96-04500,7/17/1996,60,75,New York,New York,New York,Male,Uncertain,11/30/2023
UP6874,ME/C Case K96-03579,7/15/1996,35,50,Brooklyn,Kings,New York,Male,Black / African American,11/10/2023
UP6873,ME/C Case K96-03535,7/12/1996,25,35,Brooklyn,Kings,New York,Male,White / Caucasian,12/4/2024
UP13069,ME/C Case 1996-16658,7/6/1996,,,Youngstown,Niagara,New York,Male,White / Caucasian,2/2/2022
UP16617,ME/C Case 96-2900,7/4/1996,12,17,Philadelphia,Philadelphia,Pennsylvania,Male,"Black / African American, Hispanic / Latino",8/27/2024
UP12656,ME/C Case 2242-96,6/28/1996,35,99,Chilmark,Dukes,Massachusetts,Male,Uncertain,2/22/2024
UP117170,ME/C Case T1996-54987,6/24/1996,,,Portsmouth,Portsmouth,Virginia,Female,Black / African American,5/21/2024
UP13071,ME/C Case 1996-312,6/22/1996,,,Lewiston,Niagara,New York,Female,White / Caucasian,2/2/2022
UP99143,ME/C Case 96-0745,6/22/1996,,,Decatur,DeKalb,Georgia,Male,Black / African American,5/30/2024
UP12381,ME/C Case 1996-1798,6/20/1996,,,Reading,Middlesex,Massachusetts,Male,Uncertain,2/12/2024
UP6945,ME/C Case Q96-02736,6/18/1996,60,75,Queens,Queens,New York,Male,White / Caucasian,11/30/2023
UP6944,ME/C Case Q96-02592,6/9/1996,25,40,Queens,Queens,New York,Male,Hispanic / Latino,1/12/2024
UP1686,ME/C Case 01960332,6/1/1996,46,51,Atlantic City,Atlantic,New Jersey,Male,Black / African American,8/28/2024
UP1533,ME/C Case 15960817,6/1/1996,31,38,Barnegat,Ocean,New Jersey,Male,White / Caucasian,8/28/2024
UP1486,ME/C Case 04960608,5/29/1996,25,50,Pennsauken Township,Camden,New Jersey,Female,Uncertain,8/28/2024
UP6912,ME/C Case M96-03429,5/28/1996,25,35,New York,New York,New York,Male,Black / African American,5/4/2023
UP6871,ME/C Case K96-02713,5/24/1996,18,30,Brooklyn,Kings,New York,Male,Hispanic / Latino,11/10/2023
UP1721,ME/C Case 07961118,5/24/1996,36,46,Newark,Essex,New Jersey,Male,Black / African American,8/28/2024
UP1700,ME/C Case 12960721,5/21/1996,40,55,Edison,Middlesex,New Jersey,Male,White / Caucasian,11/21/2024
UP6940,ME/C Case Q96-02184,5/12/1996,35,55,Queens,Queens,New York,Male,White / Caucasian,11/30/2023
UP6868,ME/C Case K96-02464,5/11/1996,50,70,Brooklyn,Kings,New York,Female,Black / African American,11/10/2023
UP1646,ME/C Case 09960610,5/10/1996,0,0,Bayonne,Hudson,New Jersey,Male,Uncertain,10/23/2024
UP6911,ME/C Case M96-02950,5/7/1996,25,50,New York,New York,New York,Female,Uncertain,11/30/2023
UP6910,ME/C Case M96-02921,5/6/1996,30,40,New York,New York,New York,Female,Black / African American,1/12/2024
UP653,ME/C Case 96-0928,4/21/1996,30,45,Atlanta,Fulton,Georgia,Female,Black / African American,9/17/2024
UP1696,ME/C Case 05960103,4/18/1996,30,50,Beach Haven,Cape May,New Jersey,Male,Uncertain,8/28/2024
UP1474,ME/C Case 07960842,4/17/1996,36,46,Newark,Essex,New Jersey,Male,Black / African American,10/16/2020
UP6872,ME/C Case K96-03000,4/15/1996,50,99,Brooklyn,Kings,New York,Male,Black / African American,11/10/2023
UP6857,ME/C Case B96-01352,4/8/1996,14,20,Bronx,Bronx,New York,Female,Black / African American,1/12/2024
UP6906,ME/C Case M96-02304,4/6/1996,30,45,New York,New York,New York,Female,Black / African American,8/13/2024
UP2805,ME/C Case 97-296/EC96-127,4/3/1996,20,30,Southern Shores,Dare,North Carolina,Female,White / Caucasian,8/30/2024
UP6905,ME/C Case M96-02145,3/30/1996,20,40,New York,New York,New York,Male,Black / African American,11/30/2023
UP6904,ME/C Case M96-02044,3/26/1996,18,99,New York,New York,New York,Male,Uncertain,11/30/2023
UP2795,ME/C Case ME96-2552/A96-324,3/25/1996,25,35,Raleigh,Wake,North Carolina,Male,"White / Caucasian, Hispanic / Latino",5/17/2023
UP1687,ME/C Case 01960170,3/22/1996,44,51,Atlantic City,Atlantic,New Jersey,Male,White / Caucasian,8/28/2024
UP6867,ME/C Case K96-01614,3/21/1996,18,99,Brooklyn,Kings,New York,Male,Uncertain,11/30/2023
UP6950,ME/C Case K96-01575,3/19/1996,20,40,Brooklyn,Kings,New York,Male,Black / African American,11/30/2023
UP6951,ME/C Case K96-01576,3/19/1996,20,40,Brooklyn,Kings,New York,Male,Black / African American,11/30/2023
UP6866,ME/C Case K96-01574,3/19/1996,20,40,Brooklyn,Kings,New York,Male,Black / African American,11/10/2023
UP1416,ME/C Case 96-01220,3/5/1996,17,19,Upperco,Baltimore,Maryland,Female,Black / African American,9/4/2024
UP16102,ME/C Case 1996-570,2/25/1996,,,Boston,Suffolk,Massachusetts,Male,White / Caucasian,4/12/2019
UP6896,ME/C Case M96-01044,2/12/1996,20,40,New York,New York,New York,Male,White / Caucasian,8/11/2024
UP6863,ME/C Case K96-00637,1/29/1996,60,80,Brooklyn,Kings,New York,Male,Black / African American,11/10/2023
UP15967,ME/C Case 1996-305,1/28/1996,,,Cambridge,Suffolk,Massachusetts,Male,White / Caucasian,2/13/2024
UP17732,ME/C Case 15960172,1/27/1996,0,99,,Ocean,New Jersey,Unsure,Uncertain,8/28/2024
UP6939,ME/C Case Q96-00426,1/24/1996,20,35,Queens,Queens,New York,Female,Black / African American,11/30/2023
UP6149,ME/C Case C1996-26132,1/22/1996,23,40,South Boston,Halifax,Virginia,Male,Uncertain,11/22/2023
UP6889,ME/C Case M96-00476,1/20/1996,55,75,New York,New York,New York,Male,Asian,11/10/2023
UP6892,ME/C Case M96-00481,1/20/1996,30,40,New York,New York,New York,Male,Black / African American,11/10/2023
UP4834,ME/C Case 96-00285,1/19/1996,60,69,Baltimore,Baltimore,Maryland,Male,White / Caucasian,9/4/2024
UP6937,ME/C Case Q96-00114,1/6/1996,30,45,Queens,Queens,New York,Male,White / Caucasian,1/12/2024
UP7294,ME/C Case M95-08995,12/28/1995,45,65,New York,New York,New York,Male,White / Caucasian,8/13/2024
UP649,ME/C Case 95-2465,12/27/1995,35,50,College Park,Fulton,Georgia,Male,Black / African American,9/13/2024
UP9581,ME/C Case C1995-24410,12/27/1995,22,46,Alberta,Brunswick,Virginia,Male,"Black / African American, Other",9/17/2024
UP651,ME/C Case 95-2435,12/23/1995,18,99,,Fulton,Georgia,Male,Uncertain,9/13/2024
UP7292,ME/C Case M95-08597,12/12/1995,55,65,New York,New York,New York,Male,White / Caucasian,8/13/2024
